tilsynsobjektid;orgnummer;navn;adrlinje1;adrlinje2;postnr;poststed;tilsynid;sakref;status;dato;total_karakter;tilsynsbesoektype;tema1_no;tema1_nn;karakter1;tema2_no;tema2_nn;karakter2;tema3_no;tema3_nn;karakter3;tema4_no;tema4_nn;karakter4
Z1006112043558611126QMGNM_Tilsynsobjekt;880115812;Backlund Restaurantdrift AS;Kirkegata 41;;7600;LEVANGER;Z1606281351195990240MALVK_TilsynAvtale;2016/141777;1;28062016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112043562461127JKRIS_Tilsynsobjekt;891354622;Burger King Levanger;Moan;;7600;LEVANGER;Z1601281142087300240NZOCW_TilsynAvtale;2016/20276;1;28012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112043565211189HWIME_Tilsynsobjekt;990582009;Cafe Opus Magneten kjøpesenter;MAGNETEN KJØPESENTER;;7600;LEVANGER;Z1603081511004250239NODTT_TilsynAvtale;2016/52456;1;08032016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112043573881126XBYWR_Tilsynsobjekt;972051446;Café Skognstuene ;Åsvegen 12;;7620;SKOGN;Z1601271008257540239OHPPS_TilsynAvtale;2016/18265;1;26012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112043577251189HISGS_Tilsynsobjekt;972376191;China Palace Restaurant Stjørdal;Kjøpmannsgt. 5;;7500;Stjørdal;Z1602121449550610239PXUKG_TilsynAvtale;2016/33435;1;12022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112043580081190WSSJY_Tilsynsobjekt;972336505;China Palace Restaurant Verdal;Jernbanegata 11;;7650;VERDAL;Z1606131029005910239ALVND_TilsynAvtale;2016/118489;1;10062016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112043594551127MMPLE_Tilsynsobjekt;972117587;EGON Stjørdal;Kjøpmannsgata 29B;;7500;STJØRDAL;Z1603161320050680239CJSSI_TilsynAvtale;2016/58943;1;16032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044010571190WWGPI_Tilsynsobjekt;873119152;Holm Bakeri & Konditori Hellsenteret;Sandfærhus 24;;7502;STJØRDAL;Z1602181114412260239DDFAG_TilsynAvtale;2016/36816;1;17022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044014331126KUVRI_Tilsynsobjekt;993573485;Hos Oss;KJØPMANNSGATA 27;;7500;STJØRDAL;Z1601071433128610239RUCYS_TilsynAvtale;2016/3736;1;07012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044060891190ZGARH_Tilsynsobjekt;988289485;Kafe Sentrum ;;;7530;MERÅKER;Z1603080949126010240JWNKT_TilsynAvtale;2016/51643;1;19022016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044065081126SJYFI_Tilsynsobjekt;972160180;Kjells kro;GRÅMYRA;;7608;LEVANGER;Z1606011451148770240NLDJO_TilsynAvtale;2016/122230;1;01062016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044066701189ZSDCU_Tilsynsobjekt;978976905;Klostergården - servering;Tautra-Nordre;;7633;FROSTA;Z1606141303018090240DQHSX_TilsynAvtale;2016/132186;0;14062016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112044072351126RJUFD_Tilsynsobjekt;973180398;Langseth Kafe;Innbygda;;7580;SELBU;Z1601151404036540239MKYKF_TilsynAvtale;2016/10526;1;15012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044105341189QLGLF_Tilsynsobjekt;971997206;Pernille's ;KIRKEGATA 35;;7600;LEVANGER;Z1606221533551010239OWHIY_TilsynAvtale;2016/137824;1;22062016;1;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044111921127ZRNNL_Tilsynsobjekt;973369490;Quality Airport Hotel Værnes;Kjøpmannsgata 20;;7500;STJØRDAL;Z1603101206299740240ZOHJS_TilsynAvtale;2016/54068;1;10032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044114811126DPBFV_Tilsynsobjekt;994061585;Radisson Blu Hotel, Trondheim Airport;Lufthavnsveien 30;;7500;STJØRDAL;Z1602031503191870240QKALW_TilsynAvtale;2016/25432;1;03022016;1;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044125071126LAXQP_Tilsynsobjekt;975805794;Siciliana Verdal;VOLHAUGVEGEN 16;;7650;VERDAL;Z1601271505266790239WOJEQ_TilsynAvtale;2016/19646;1;27012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044125781189QCBPP_Tilsynsobjekt;872133992;Selbusjøen Hotell & Gjestegård;Haverneset 15;;7580;SELBU;Z1603031320594530240ROMDO_TilsynAvtale;2016/48663;1;03032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044127711127IIRWN_Tilsynsobjekt;980292851;Smile Cafe og Catering;Wessels veg 5;;7502;STJØRDAL;Z1603161507066200240DOZOS_TilsynAvtale;2016/58393;1;16032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044130111126GFXFJ_Tilsynsobjekt;983638449;Stekke kafe;Fløytarveien 3A;;7650;Verdal;Z1605271037362860240RVDXN_TilsynAvtale;2016/118735;1;26052016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112044130111126GFXFJ_Tilsynsobjekt;983638449;Stekke kafe;Fløytarveien 3A;;7650;Verdal;Z1606141355127140239VHACU_TilsynAvtale;2016/118735;1;14062016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044135181126UZJAK_Tilsynsobjekt;974165155;Torgcafeen Torgkvartalet;Stokmovegen 2;;7500;STJØRDAL;Z1603101328589330240VKYNA_TilsynAvtale;2016/54297;1;10032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044138321127SOFZV_Tilsynsobjekt;992589574;Vertshuset Caroline;FLAKNAN;;7596;FLAKNAN;Z1604291418015400239DSBQM_TilsynAvtale;2016/97028;1;28042016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044146701190BWHHV_Tilsynsobjekt;975830497;Viva Napoli Pizzarestaurant;Kirkev 4;;7500;STJØRDAL;Z1603181411031040240QDZQK_TilsynAvtale;2016/61364;1;18032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044187781189WEDRZ_Tilsynsobjekt;983101232;Væktarstua Hotell AS;Stugudalen;;7590;TYDAL;Z1602111445261190239QGWTW_TilsynAvtale;2016/32323;1;11022016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044208521190UNOXW_Tilsynsobjekt;974094614;Nedalshytta;Stuggudal;;7590;TYDAL;Z1607061040228390239ZGBKV_TilsynAvtale;2016/146240;1;05072016;1;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044233141127XIDRA_Tilsynsobjekt;874296252;Holm Bakeri AS Kafe og utsalg Sutterø;Industrivegen 6;;7502;STJØRDAL;Z1604281441078750240QYLGW_TilsynAvtale;2016/97744;1;28042016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112044233141127XIDRA_Tilsynsobjekt;874296252;Holm Bakeri AS Kafe og utsalg Sutterø;Industrivegen 6;;7502;STJØRDAL;Z1606301356194320240PJJCF_TilsynAvtale;2016/97744;1;30062016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044235521126LRGAQ_Tilsynsobjekt;973181882;Innherredsbakeriet A/S Boby`n;Magnus den Godes veg 23;;7650;VERDAL;Z1603171132485980239SCUGP_TilsynAvtale;2016/59793;1;17032016;2;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112044235521126LRGAQ_Tilsynsobjekt;973181882;Innherredsbakeriet A/S Boby`n;Magnus den Godes veg 23;;7650;VERDAL;Z1603181438140730239ULARG_TilsynAvtale;2016/59793;1;18032016;0;1;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044238281189JKDCM_Tilsynsobjekt;971716029;Kaffeloftet;KJØPMANNSGATA 23;;7500;STJØRDAL;Z1605261652184060239VJELZ_TilsynAvtale;2016/115897;1;26052016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044492141189HODOO_Tilsynsobjekt;994148966;Big Bite avd 224 v/Cathrine Fossbakk;Stokkmoveien 2;;7500;STJØRDAL;Z1603231126241360240CMWGK_TilsynAvtale;2016/61042;1;18032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044493671190MWVAR_Tilsynsobjekt;983260535;Big Bite avd 231 Magneten Kjøpesenter;Moafjæra 14;;7606;Levanger;Z1601181347342220240AEJHX_TilsynAvtale;2016/11697;1;18012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044590031127DOFAX_Tilsynsobjekt;982691826;Levanger Bowling;Moafjæra 2B;;7606;LEVANGER;Z1604210951294400240MQOBC_TilsynAvtale;2016/90085;1;20042016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112044590031127DOFAX_Tilsynsobjekt;982691826;Levanger Bowling;Moafjæra 2B;;7606;LEVANGER;Z1607011310209430239KWUED_TilsynAvtale;2016/90085;1;01072016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044595061127CMEJO_Tilsynsobjekt;982593905;Pizzabaren A/S Torgkvartalet Kjøpesenter;Stokmovegen 2;;7500;STJØRDAL;Z1603161143434770240GLORV_TilsynAvtale;2016/58754;1;16032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112044595861126XVABJ_Tilsynsobjekt;982514452;Sissels spiseri;;;7530;Meråker;Z1602191626385630239ISTMB_TilsynAvtale;2016/39082;1;19022016;3;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;3;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044595861126XVABJ_Tilsynsobjekt;982514452;Sissels spiseri;;;7530;Meråker;Z1602290848128880240ZXJFK_TilsynAvtale;2016/39082;1;29022016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112044596231189RJICT_Tilsynsobjekt;983198910;Skogn Pizza & Grill;ÅSVEGEN 13;;7620;SKOGN;Z1601271007599620239MRHRT_TilsynAvtale;2016/18266;1;26012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112045116601127RALDE_Tilsynsobjekt;988042021;Kafè Posten;Ås;;7590;TYDAL;Z1606161311337440240CHJDB_TilsynAvtale;2016/134062;1;16062016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112045116601127RALDE_Tilsynsobjekt;988042021;Kafè Posten;Ås;;7590;TYDAL;Z1606231336242080240IQPUS_TilsynAvtale;2016/134062;1;23062016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112045279201126QNNZD_Tilsynsobjekt;994037927;Baris Magneten Kjøpesenter;Magneten;;7606;LEVANGER;Z1604210950431550240XQONJ_TilsynAvtale;2016/90084;1;20042016;1;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112150218371127YNLWL_Tilsynsobjekt;989630024;Restaurant Skalden - Stiklestad nasjonale Kultursenter;Leksdalsvegen 1;;7656;VERDAL;Z1605311458474020239GDAFA_TilsynAvtale;2016/121259;1;31052016;1;0;Rutiner og ledelse;Rutiner og leiing;1;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112151037911127ZOQMA_Tilsynsobjekt;873066032;Upper Crust Trondheim Lufthavn Værnes;Trondheim lufthavn Værnes;;7502;STJØRDAL;Z1602101405187240240SGLCC_TilsynAvtale;2016/30869;1;10022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112217552331127RXBOT_Tilsynsobjekt;973135503;Baker Narum, avdeling Kuben;Kong Rings gate 1;;3510;HØNEFOSS;Z1601201645086990239POFFI_TilsynAvtale;2016/13255;1;20012016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112217552331127RXBOT_Tilsynsobjekt;973135503;Baker Narum, avdeling Kuben;Kong Rings gate 1;;3510;HØNEFOSS;Z1602091134302540239JJLSY_TilsynAvtale;2016/13255;1;09022016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112217553631126GNLRK_Tilsynsobjekt;985219850; Smietorget forretningsdrift as Bakeriet;Smietorget;Smiegata 17;2750;GRAN;Z1602231609331160240SSLTO_TilsynAvtale;2016/40279;1;23022016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112217553631126GNLRK_Tilsynsobjekt;985219850; Smietorget forretningsdrift as Bakeriet;Smietorget;Smiegata 17;2750;GRAN;Z1603081400207290240TFJYJ_TilsynAvtale;2016/40279;1;08032016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112217557411127FPBFM_Tilsynsobjekt;971802367;Sole Hotell ;;;3536;NORESUND;Z1602231503270710240OCLNY_TilsynAvtale;2016/40518;1;23022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112217575841127SRLJP_Tilsynsobjekt;974143305;Blaafarveværket Thranestua;Koboltveien 11;;3340;ÅMOT;Z1605260842510210240QDGNF_TilsynAvtale;2016/116846;1;25052016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112217577111189SUJPF_Tilsynsobjekt;993387274;Brasserie Fengselet;Storgata 9;;3510;HØNEFOSS;Z1602161605133230239MTEBD_TilsynAvtale;2016/35449;1;16022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112218003801127SPRHV_Tilsynsobjekt;988267961;General Hotell;Helgelandsmoen;;3512;HØNEFOSS;Z1606160904355480240PYPLX_TilsynAvtale;2016/133402;1;15062016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112218009671189HQLPX_Tilsynsobjekt;971695137;Granavolden Gjæstgiveri;GRANVOLLEN 16;;2750;GRAN;Z1606200854578600240HJKLK_TilsynAvtale;2016/111980;1;17062016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112218017141127WUHTE_Tilsynsobjekt;971675101;Bakeriet;Glassverkvegen 9;;3520;JEVNAKER;Z1604201428506560240DQUYX_TilsynAvtale;2016/89804;1;20042016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112218045271190KRZVZ_Tilsynsobjekt;971793996;Harestua Kro og China House;Stasjonsveien 2;;2743;HARESTUA;Z1603091455334190239LDEIU_TilsynAvtale;2016/51473;1;09032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112218104681127UMODW_Tilsynsobjekt;982252504;Keke Bistro;VIK TORG;;3530;RØYSE;Z1601151348101380240DLFPC_TilsynAvtale;2016/9015;1;14012016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112218104681127UMODW_Tilsynsobjekt;982252504;Keke Bistro;VIK TORG;;3530;RØYSE;Z1601271135328980240CWLQW_TilsynAvtale;2016/9015;1;27012016;2;1;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112218104681127UMODW_Tilsynsobjekt;982252504;Keke Bistro;VIK TORG;;3530;RØYSE;Z1602121121525310239ZRCYM_TilsynAvtale;2016/9015;1;11022016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112218111221127KGCMK_Tilsynsobjekt;971720425;Klækken Hotell;Hadelandsveien 386;;3514;HØNEFOSS;Z1606140833372550239JGYLY_TilsynAvtale;2016/129762;1;13062016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112218113631189BVHWD_Tilsynsobjekt;972124281;Krøderen Kro;;;3535;KRØDEREN;Z1602231507227100239LDBXN_TilsynAvtale;2016/40268;1;23022016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112218117501126ICLLW_Tilsynsobjekt;974115018;Lygnasæter Hotell AS;Lygna, Jaren;;2750;GRAN;Z1605230955330680240MMFKT_TilsynAvtale;2016/112000;1;20052016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006112218124771190HWKMV_Tilsynsobjekt;972973513;Grand Shanghai Restaurant;ENGGATA 13;;3520;JEVNAKER;Z1604140906159050239VVGJI_TilsynAvtale;2016/82204;1;12042016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;2;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112218124771190HWKMV_Tilsynsobjekt;972973513;Grand Shanghai Restaurant;ENGGATA 13;;3520;JEVNAKER;Z1605090911171220239EMEJT_TilsynAvtale;2016/82204;1;03052016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112218129811190DHJSB_Tilsynsobjekt;873570202;Modumstua ;BERGKRYSTALLEN 1;;3340;ÅMOT;Z1605181324286890239OZKRY_TilsynAvtale;2016/107675;1;12052016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112218129811190DHJSB_Tilsynsobjekt;873570202;Modumstua ;BERGKRYSTALLEN 1;;3340;ÅMOT;Z1606031437574810239AIAEA_TilsynAvtale;2016/107675;1;03062016;2;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;2
Z1006112218129811190DHJSB_Tilsynsobjekt;873570202;Modumstua ;BERGKRYSTALLEN 1;;3340;ÅMOT;Z1607011504030130239ZUAEK_TilsynAvtale;2016/107675;1;01072016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;0
Z1006112218131461127EULBP_Tilsynsobjekt;973135503;Baker Narum, avdeling Søndre Torv ;Søndre torv 8;;3510;HØNEFOSS;Z1602241317031480240ODQXP_TilsynAvtale;2016/35461;1;16022016;2;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;2
