tilsynsobjektid;orgnummer;navn;adrlinje1;adrlinje2;postnr;poststed;tilsynid;sakref;status;dato;total_karakter;tilsynsbesoektype;tema1_no;tema1_nn;karakter1;tema2_no;tema2_nn;karakter2;tema3_no;tema3_nn;karakter3;tema4_no;tema4_nn;karakter4
Z1006050007039761127RVWXB_Tilsynsobjekt;974888688;RiBaGo (Ritz);Dr Wesselsg 17;;9915;KIRKENES;Z1603091535357060240TGBHB_TilsynAvtale;2016/52920;1;09032016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050007045891127YPXDE_Tilsynsobjekt;985980470;Shang Hai Restaurant A/S;Dr Wessels gate 3;;9915;KIRKENES;Z1603081919519350239USBFU_TilsynAvtale;2016/52556;1;08032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050007050161189GWEAL_Tilsynsobjekt;990498717;Sparelandskafeen;Hans Væggers vei 20;;9900;KIRKENES;Z1603091106335580240MPSPZ_TilsynAvtale;2016/52889;1;09032016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050007051881127ZKUJW_Tilsynsobjekt;994305859;Surf &Turf Brasseri og Bar;Dr. Wessels gate 2;;9900;KIRKENES;Z1603091527004390239HRJBO_TilsynAvtale;2016/52907;1;09032016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050007123331190ZKCGZ_Tilsynsobjekt;993273279;UNNIS KAFFEBAR Unni Paulsen;Strandgata 16;;9950;Vardø;Z1601191730025120240ACNUA_TilsynAvtale;2016/12390;1;19012016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;1;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050007124971126EJXVP_Tilsynsobjekt;974690950;Varangerkroa;Varangerbotn;;9840;VARANGERBOTN;Z1601221438527780239JWKSQ_TilsynAvtale;2016/6703;1;22012016;2;0;Rutiner og ledelse;Rutiner og leiing;2;Lokaler og utstyr;Lokaler og utstyr;2;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;2
Z1006050007124971126EJXVP_Tilsynsobjekt;974690950;Varangerkroa;Varangerbotn;;9840;VARANGERBOTN;Z1602290814429830239YWDHY_TilsynAvtale;2016/6703;1;24022016;0;1;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050007133431127SRBQK_Tilsynsobjekt;994838083;Kjølnes fyr "Kvinnfolkan på skjæret";KJØLNES;;9845;TANA;Z1605120854136420239XIVAK_TilsynAvtale;2016/105768;1;11052016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050007134671190XCIDC_Tilsynsobjekt;985329923;LEVAJOK FJELLSTUE AS Levajok;Levajok;;9845;TANA;Z1606062236353370239NXUAW_TilsynAvtale;2016/121830;1;01062016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
Z1006050007208911126PGTWQ_Tilsynsobjekt;971997575;Første Stopp AS ;FJORDVEGEN 5;;9990;BÅTSFJORD;Z1604080856518430240RMYXU_TilsynAvtale;2016/78400;1;07042016;1;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;1;Merking og sporbarhet;Merking og sporbarheit;1
Z1006050007216281189EHQUW_Tilsynsobjekt;972288381;Bajasso;Kirkegata 16;;9800;VADSØ;Z1601200754599230240RPYUH_TilsynAvtale;2016/13144;1;19012016;0;0;Rutiner og ledelse;Rutiner og leiing;0;Lokaler og utstyr;Lokaler og utstyr;0;Mat-håndtering og tilberedning;Mat-handtering og tillaging;0;Merking og sporbarhet;Merking og sporbarheit;0
